"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","(default)","src/CustomFolderCreator.java","3","4","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"2","(default)","src/CustomFolderCreator.java","1","10","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"3","(default)","src/CustomFolderCreator.java","3","10","Parameter 'HomeDir' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"4","(default)","src/CustomFolderCreator.java","3","14","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"5","(default)","src/CustomFolderCreator.java","3","17","Local variable 'files' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"6","(default)","src/CustomFolderCreator.java","5","18","Found 'DD'-anomaly for variable 'count' (lines '18'-'45').","Controversial Rules","DataflowAnomalyAnalysis"
"7","(default)","src/CustomFolderCreator.java","3","23","Local variable 'folderName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"8","(default)","src/CustomFolderCreator.java","3","25","Local variable 'pattFolder' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"9","(default)","src/CustomFolderCreator.java","3","26","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"10","(default)","src/CustomFolderCreator.java","3","26","Local variable 'pfile' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"11","(default)","src/CustomFolderCreator.java","3","27","Deeply nested if..then statements are hard to read","Design Rules","AvoidDeeplyNestedIfStmts"
"12","(default)","src/CustomFolderCreator.java","3","33","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"13","(default)","src/CustomFolderCreator.java","3","34","Deeply nested if..then statements are hard to read","Design Rules","AvoidDeeplyNestedIfStmts"
"14","(default)","src/CustomFolderCreator.java","3","40","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"15","(default)","src/CustomFolderCreator.java","3","41","Deeply nested if..then statements are hard to read","Design Rules","AvoidDeeplyNestedIfStmts"
"16","(default)","src/CustomFolderCreator.java","5","45","Found 'DD'-anomaly for variable 'count' (lines '45'-'45').","Controversial Rules","DataflowAnomalyAnalysis"
"17","(default)","src/CustomFolderCreator.java","2","49","System.out.print is used","Java Logging Rules","SystemPrintln"
"18","(default)","src/CustomFolderCreator.java","2","55","System.out.print is used","Java Logging Rules","SystemPrintln"
"19","(default)","src/CustomFolderCreator.java","3","61","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"20","(default)","src/FileCounter.java","3","8","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"21","(default)","src/FileCounter.java","3","14","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"22","(default)","src/FileCounter.java","1","15","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"23","(default)","src/FileCounter.java","3","15","Parameter 'Directory_path' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"24","(default)","src/FileCounter.java","3","18","Local variable 'fileDir' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"25","(default)","src/FileCounter.java","3","21","Local variable 'moreFiles' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"26","(default)","src/FileCounter.java","3","24","Local variable 'myFile' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"27","(default)","src/FileCounter.java","5","27","Found 'DD'-anomaly for variable 'mycount' (lines '27'-'28').","Controversial Rules","DataflowAnomalyAnalysis"
"28","(default)","src/FileCounter.java","3","34","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"29","(default)","src/FileCounter.java","3","43","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"30","(default)","src/FileCounter.java","3","50","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"31","(default)","src/FileCounter.java","3","52","Avoid variables with short names like fc","Naming Rules","ShortVariable"
"32","(default)","src/FileCounter.java","3","52","Local variable 'fc' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"33","(default)","src/FileCounter.java","3","53","Local variable 'project_directory' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"34","(default)","src/FileCounter.java","2","56","System.out.print is used","Java Logging Rules","SystemPrintln"
"35","(default)","src/FileWriterDemo.java","3","6","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"36","(default)","src/FileWriterDemo.java","3","16","Local variable 'cities' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"37","(default)","src/FileWriterDemo.java","3","17","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"38","(default)","src/FileWriterDemo.java","3","18","Local variable 'writer' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"39","(default)","src/FileWriterDemo.java","3","19","Local variable 'bwriter' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"40","(default)","src/FileWriterDemo.java","3","26","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"41","(default)","src/FileWriterDemo.java","3","31","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"42","(default)","src/FileWriterDemo.java","3","33","Local variable 'demo' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
